GenbankID,GeneName,GeneCategory,Replicate,14,12,13,15
152610,nifH,Nitrogen,1,NA,NA,2856.9528,NA
153155,amyA,Carbon cycling,1,838.9886,NA,NA,NA
153185,B_lactamase_A,Antibiotic resistance,1,NA,2335.6532,NA,NA
154643,ABC_transporter_II,Bioleaching,1,1115.4755,NA,NA,NA
154670,F1F0_ATP_synthase,Bioleaching,1,8203.5707,NA,NA,NA
154673,ATP_synthase_F1_or_F0,Bioleaching,1,2574.0285,NA,NA,NA
166188,lysin,Bacteria phage,1,NA,5139.9201,5868.7147,NA
167469,phenol_oxidase,Carbon cycling,1,NA,NA,NA,376.89
168151,nitA,Organic Remediation,1,1902.2042,NA,NA,NA
169264,lip,Carbon cycling,1,NA,8693.2916,NA,NA
169280,mnp,Carbon cycling,1,NA,NA,NA,NA
169289,mnp,Carbon cycling,1,NA,33680.9799,NA,NA
170525,pheA,Organic Remediation,1,29807.5246,4405.9085,10884.4328,1308.9
215887,Host_recognition_T4_type,Bacteria phage,1,NA,NA,NA,319.72
216292,nplT,Carbon cycling,1,NA,NA,NA,NA
216824,nifH,Nitrogen,1,NA,NA,NA,759.67
216853,nhh,Organic Remediation,1,NA,3638.7624,NA,NA
217160,rubisco,Carbon cycling,1,NA,5762.179,4011.4921,NA
217161,cbb,Bioleaching,1,NA,NA,NA,222.9
217186,xylA,Carbon cycling,1,1148.0568,5681.4591,3485.668,NA
287454,B_lactamase_A,Antibiotic resistance,1,NA,NA,NA,540.8133
290472,Tet,Antibiotic resistance,1,NA,11073.0561,NA,NA
290643,CopA,Metal Resistance,1,NA,4944.6741,NA,NA
294671,atzA,Organic Remediation,1,NA,2238.35135,2462.5704,NA
297844,rubisco,Carbon cycling,1,NA,NA,NA,NA
304359,cellobiase,Carbon cycling,1,2633.0383,NA,7945.8087,1024.7
312237,nifH,Nitrogen,1,45437.0068,65079.3804,18495.4804,NA
393403,amyA,Carbon cycling,1,NA,11156.5495,NA,NA
397847,HBH,Organic Remediation,1,NA,2533.3806,NA,NA
410516,ureC,Nitrogen,1,2394.4288,NA,NA,NA
415256,mauAB,Organic Remediation,1,17155.9496,5083.6059,3397.3529,597.85
425214,bphF1,Organic Remediation,1,NA,2853.8082,5125.7111,692.05
429026,endochitinase,Carbon cycling,1,NA,3382.9983,NA,NA
431752,ureC,Nitrogen,1,NA,NA,16877.6878,NA
436027,gyrB,other category,1,3277.4736,13808.0177,NA,NA
440136,dehH109,Organic Remediation,1,14716.7897,7261.7311,4076.2679,NA
453224,exoglucanase,Carbon cycling,1,NA,NA,NA,332.31
497878,nifH,Nitrogen,1,11589.4672,NA,NA,NA
497884,nifH,Nitrogen,1,4213.4273,6500.4528,3638.4725,505.84
505126,rubisco,Carbon cycling,1,2254.2123,2384.9902,NA,355.66
505629,lip,Carbon cycling,1,NA,6307.192,1517.7938,NA
527550,pheA,Organic Remediation,1,3405.3585,NA,NA,631.64
556331,mauAB,Organic Remediation,1,5924.5569,NA,3340.3375,440.92
559906,AceA,Carbon cycling,1,NA,9766.7357,1502.3014,NA
578092,phenol_oxidase,Carbon cycling,1,2590.3407,NA,NA,NA
580822,xylanase,Carbon cycling,1,154213.1991,NA,NA,NA
598361,bphD,Organic Remediation,1,NA,8961.8423,NA,NA
600093,napA,Nitrogen,1,4622.4982,NA,NA,NA
643615,CopA,Metal Resistance,1,NA,NA,NA,1387.7867
685212,glucoamylase,Carbon cycling,1,6974.2467,12380.7195,4144.022,NA
699190,sigma_70,Stress,1,1330.9796,4509.7789,2218.7016,NA
763399,dehH109,Organic Remediation,1,12426.7768,14595.8036,6088.2137,NA
780717,nifH,Nitrogen,1,NA,NA,NA,256.08
780727,nifH,Nitrogen,1,949.142,2471.1985,NA,NA
840829,pstB,Stress,1,2718.3469,NA,NA,NA
849192,endochitinase,Carbon cycling,1,NA,NA,NA,NA
854338,pectinase,Carbon cycling,1,764.9991,3501.7866,1645.0832,NA
881516,sigma_70,Stress,1,3570.2382,NA,NA,NA
903305,pstA,Stress,1,NA,NA,16098.8599,NA
927236,HcaB,Organic Remediation,1,7788.9097,15051.6889,13217.022,1625.01
939838,BADH,Organic Remediation,1,NA,NA,NA,318.76
951464,lip,Carbon cycling,1,5724.8373,6930.8522,10284.1251,NA
953231,catechol_B,Organic Remediation,1,2688.2578,NA,NA,NA
1001193,pstB,Stress,1,1899.8157,NA,NA,331.0133
1001257,Al,Metal Resistance,1,NA,NA,NA,323.05
1049326,gyrB,other category,1,1294.7637,NA,1840.6421,NA
1054936,ara_fungi,Carbon cycling,1,NA,NA,1966.0128,7080.58
1167515,nitA,Organic Remediation,1,4839.8974,NA,NA,NA
1177721,bphD,Organic Remediation,1,2939.2942,4300.8996,5333.0683,454.83
1177849,amyA,Carbon cycling,1,8463.9446,18853.0298,22341.4533,999.08
1183904,APS_AprB,Sulfur Oxidation,1,1510.1379,3218.931,NA,NA
1183925,pstB,Stress,1,5947.1172,14351.1915,7326.7726,NA
1208738,tutFDG,Organic Remediation,1,940.6267,NA,NA,NA
1220220,ophC,Organic Remediation,1,2027.6747,10614.1639,NA,NA
1223924,endochitinase,Carbon cycling,1,NA,4730.2481,4659.6228,NA
1236529,nplT,Carbon cycling,1,2641.5536,NA,NA,NA
1237126,DNA_polymerase_type_I,Bacteria phage,1,NA,11105.237,NA,NA
1244586,ara_fungi,Carbon cycling,1,2592.5648,NA,6434.4868,680
1255460,nifH,Nitrogen,1,9583.9719,13601.6198,12930.0839,1237.57
1255498,nifH,Nitrogen,1,NA,NA,1808.301867,NA
1255504,nifH,Nitrogen,1,6618.9415,12101.3379,17731.8298,859.28
1256708,HcaB,Organic Remediation,1,NA,NA,NA,NA
1314081,AceA,Carbon cycling,1,1519.0166,3525.3457,NA,NA
1314850,katE,Stress,1,1578.7534,5799.2255,2438.4298,NA
1322079,phenol_oxidase,Carbon cycling,1,5351.1516,14053.1261,NA,NA
1322089,gyrB,other category,1,2461.0972,NA,NA,1620.33
1322097,gyrB,other category,1,NA,NA,1671.8583,NA
1354283,xylG,Organic Remediation,1,NA,NA,NA,NA
1408294,BADH,Organic Remediation,1,NA,NA,2101.9218,NA
1437475,Catechol,Organic Remediation,1,2229.6789,NA,5129.3193,1646.67
1572591,nifH,Nitrogen,1,863.2104,NA,NA,NA
1575488,AceB,Carbon cycling,1,NA,56351.7573,NA,NA
1591434,ChrA,Metal Resistance,1,1579.5842,3117.9508,2583.3593,647.29
1592173,trzA,Organic Remediation,1,1160.7778,NA,NA,NA
1592211,glucoamylase,Carbon cycling,1,3474.3894,12467.1322,12507.8668,897.27
1592313,nifH,Nitrogen,1,NA,2814.5138,NA,NA
1595853,amyA,Carbon cycling,1,1567.1228,NA,NA,311.74
1617425,dmsA,Organic Remediation,1,NA,NA,2363.173,NA
1652157,mer,Metal Resistance,1,2188.3227,6935.9319,4848.4235,856.96
1652273,POBMO,Organic Remediation,1,9219.2168,NA,NA,NA
1652379,ZntA,Metal Resistance,1,3239.5442,NA,NA,597.69
1652792,sigma_70,Stress,1,NA,NA,NA,487.66
1652920,pstC,Stress,1,3683.1695,NA,NA,NA
1652922,pstB,Stress,1,951.7901,NA,NA,290.44
1653312,vanA,Carbon cycling,1,NA,3913.0935,NA,NA
1653494,ArsC,Metal Resistance,1,NA,NA,NA,NA
1653704,ZntA,Metal Resistance,1,NA,NA,NA,736.7467
1663519,endoglucanase,Carbon cycling,1,22121.7244,10556.5943,6410.9762,872.97
1679595,exoglucanase,Carbon cycling,1,NA,NA,3032.8957,NA
1679807,integrase_tyrosine,Bacteria phage,1,NA,NA,34839.4785,657.88
1685013,bphA,Organic Remediation,1,2969.6514,5530.4996,4118.1632,NA
1764155,tfdB,Organic Remediation,1,3321.8413,NA,NA,NA
1771524,catB,Organic Remediation,1,4785.898,10693.8329,2251.8628,NA
1790867,vanA,Carbon cycling,1,1626.3143,NA,NA,NA
1805413,cellobiase,Carbon cycling,1,3641.294,6640.0268,4022.0017,965.42
1817723,endoglucanase,Carbon cycling,1,NA,4709.9586,NA,NA
1841362,tdnB,Organic Remediation,1,NA,1958.2983,NA,NA
1850786,nhh,Organic Remediation,1,1137.8541,9708.5823,5294.953,NA
1854553,nifH,Nitrogen,1,NA,NA,NA,NA
1856979,Catechol,Organic Remediation,1,1822.8927,NA,NA,NA
1857716,katE,Stress,1,4774.6483,2186.3578,2831.7526,NA
1890335,bphA,Organic Remediation,1,NA,NA,17586.805,NA
1890342,cumA,Organic Remediation,1,2959.9939,NA,NA,NA
1912047,sigma_70,Stress,1,6902.9053,7625.1315,3112.6484,NA
1929328,ChrA,Metal Resistance,1,NA,2616.1441,3209.1249,301.59
1929906,endoglucanase,Carbon cycling,1,5161.1674,9148.0967,3564.5616,NA
1935037,amoA,Nitrogen,1,21795.5303,14124.8545,44468.5048,1700.89
1944015,gyrB,other category,1,NA,5434.5698,NA,478.3
1944017,gyrB,other category,1,4027.571,6218.2395,5171.8446,NA
2052180,merP,Metal Resistance,1,NA,9215.7964,1666.9328,NA
2052182,mer,Metal Resistance,1,2280.0177,5296.3679,NA,NA
2072731,Quinoline,Organic Remediation,1,NA,6118.1059,6087.8701,NA
2072732,carA,Organic Remediation,1,NA,NA,NA,834.83
2073550,cbaA,Organic Remediation,1,NA,4372.5112,3207.5213,NA
2098748,oxyR,Stress,1,3055.8946,9861.8188,2936.2474,NA
2104720,amoA,Nitrogen,1,NA,NA,NA,244.16
2105093,narG,Nitrogen,1,4905.1898,NA,NA,NA
2105096,narI,Stress,1,815.286,3351.9949,3680.0241,NA
2196814,gyrB,other category,1,2155.3001,NA,1803.9014,238.52
2196828,gyrB,other category,1,NA,NA,NA,376.15
2196830,gyrB,other category,1,1371.4531,NA,NA,642.89
2196846,gyrB,other category,1,NA,3197.6198,2073.6003,491.89
2196854,gyrB,other category,1,2368.5974,7668.4254,3821.5459,530.75
2251108,amyA,Carbon cycling,1,1573.2756,6430.1549,4040.0427,314.94
2258313,mmoX,Carbon cycling,1,1104.6497,NA,NA,NA
2338754,fnr,Stress,1,18676.8788,27782.9929,5176.77,NA
2353014,gyrB,other category,1,2134.7128,3538.2201,3128.599,420.71
2353784,T4_type_portal_protein,Bacteria phage,1,NA,6571.101,8429.3939,716.97
2370410,napA,Nitrogen,1,NA,5064.8637,NA,NA
2414562,ppk,Phosphorus,1,NA,NA,2161.8008,NA
2429326,endochitinase,Carbon cycling,1,NA,NA,NA,9001.62
2547079,pstC,Stress,1,1648.3554,NA,NA,274.24
2547081,pstB,Stress,1,1766.1674,NA,NA,NA
2565259,CadA,Metal Resistance,1,3535.3463,NA,NA,NA
2576391,AprA,Sulfur Oxidation,1,1162.2317,2274.814,3155.0305,NA
2588983,phdI,Organic Remediation,1,34690.2061,8490.9224,2481.986,NA
2588986,phdK,Organic Remediation,1,NA,NA,NA,350.15
2588988,phdI,Organic Remediation,1,3177.1335,20902.6745,NA,NA
2621240,MFS_antibiotic,Antibiotic resistance,1,NA,2218.3538,NA,NA
2622622,atzA,Organic Remediation,1,NA,5098.407,NA,NA
2622862,pstB,Stress,1,NA,NA,32102.4367,NA
2627153,xylG,Organic Remediation,1,NA,NA,NA,229.14
2627157,bphF1,Organic Remediation,1,5966.4843,NA,3891.7627,NA
2632019,catB,Organic Remediation,1,NA,2686.1501,NA,300.41
2632242,ahpC,Stress,1,1549.8586,6162.1588,5062.9684,634.07
2632576,TerZ,Metal Resistance,1,NA,4976.2323,NA,NA
2632980,opuE,Stress,1,NA,3469.5862,3460.5251,402.82
2633393,amoA,Nitrogen,1,3255.2248,6097.0574,3942.5639,704.37
2633685,glnR,Stress,1,1445.7022,NA,NA,NA
2635963,SMR_antibiotics,Antibiotic resistance,1,NA,16604.7235,NA,NA
2641611,amoA,Nitrogen,1,NA,4109.5364,NA,NA
2644993,dnaK,Stress,1,NA,NA,3146.201,NA
2644998,dnaK,Stress,1,1204.3667,NA,4610.7402,NA
2649598,trzN,Organic Remediation,1,3632.9605,10459.4385,11391.6432,986.05
2650152,CopA,Metal Resistance,1,NA,NA,NA,367.39
2654356,dehH109,Organic Remediation,1,NA,1866.8352,NA,NA
2662054,AceA,Carbon cycling,1,1128.4561,NA,NA,NA
2707272,mnp,Carbon cycling,1,981.4637,NA,NA,NA
2738813,dnaK,Stress,1,NA,NA,NA,399.54
2764913,single_strand_annealing_protein,Bacteria phage,1,NA,1968.5453,NA,NA
2764919,helicase_family_4_DnaB_like,Bacteria phage,1,3482.8787,8758.1303,8091.9982,NA
2765117,merP,Metal Resistance,1,NA,NA,6519.6232,NA
2765429,vanA,Carbon cycling,1,1606.0906,2354.2786,NA,266.5467
2822266,cumA,Organic Remediation,1,1955.6843,3731.9188,6107.0852,1065.34
2822273,bphF1,Organic Remediation,1,2197.3313,3701.6743,4990.0312,573.31
2822401,ArsA,Metal Resistance,1,NA,NA,NA,287.24
2826168,nagG,Organic Remediation,1,NA,3846.2112,NA,NA
2852457,norB,Nitrogen,1,1109.7121,NA,NA,NA
2852658,hydrogenase,Energy process,1,8117.2411,NA,NA,NA
2853305,gyrB,other category,1,NA,5095.2833,4610.8548,571.01
2854060,xylanase,Carbon cycling,1,1454.8665,NA,NA,NA
2911478,cda,Carbon cycling,1,7759.5994,19581.7281,16880.8951,1263.44
2921435,BADH,Organic Remediation,1,17885.0444,5770.4116,17556.202,1156.67
2935031,catB,Organic Remediation,1,NA,NA,6891.7836,NA
2960348,amyA,Carbon cycling,1,969.911,NA,NA,NA
2983217,atzA,Organic Remediation,1,NA,NA,36994.168,NA
2983537,pstB,Stress,1,NA,30197.1473,NA,NA
2983586,CueO,Metal Resistance,1,NA,3020.3278,2706.926,NA
2983678,dmsA,Organic Remediation,1,3121.4207,4751.5301,1899.5474,NA
3006039,phenol_oxidase,Carbon cycling,1,NA,3044.7919,NA,457.41
3006137,CopA,Metal Resistance,1,3468.7298,NA,NA,NA
3021322,fnr,Stress,1,4557.5172,25777.839,NA,NA
3059181,bphC,Organic Remediation,1,2431.9082,NA,NA,NA
3059209,nahA,Organic Remediation,1,NA,NA,7747.0138,NA
3059212,bphB,Organic Remediation,1,2931.2029,6330.722,5654.6566,NA
3062909,sigma_70,Stress,1,NA,NA,NA,263.14
3088544,RNA_dependent__RNA_polymerase,Bacteria phage,1,NA,NA,NA,NA
3114666,phn,Organic Remediation,1,NA,NA,NA,2245.76
3116018,vdh,Carbon cycling,1,1760.3087,NA,NA,NA
3123319,xylanase,Carbon cycling,1,NA,NA,35874.7085,NA
3128310,ArsC,Metal Resistance,1,5718.4249,13124.9779,14830.4045,696.76
3142156,scnABC,Organic Remediation,1,NA,91481.0256,NA,NA
3150227,pcc,Carbon cycling,1,3329.4998,NA,NA,NA
3157413,katE,Stress,1,NA,3162.0037,NA,NA
3157532,nifH,Nitrogen,1,NA,1903.8525,2480.2964,NA
3157534,nifH,Nitrogen,1,3234.9955,7811.2594,7363.0204,947.5364
3157544,nifH,Nitrogen,1,NA,3133.7736,NA,NA
3157546,nifH,Nitrogen,1,NA,NA,NA,NA
3157562,nifH,Nitrogen,1,NA,NA,NA,384.96
3157570,nifH,Nitrogen,1,1743.1053,NA,NA,NA
3157594,nifH,Nitrogen,1,2122.2774,4157.2093,3413.9621,638.74
3157602,nifH,Nitrogen,1,2095.6931,3021.4371,NA,NA
3157618,nifH,Nitrogen,1,1080.4279,NA,NA,249.78
3157622,nifH,Nitrogen,1,NA,NA,4034.2295,NA
3157662,nifH,Nitrogen,1,NA,NA,2761.5072,NA
3157674,nifH,Nitrogen,1,122214.3228,NA,NA,NA
3157684,nifH,Nitrogen,1,NA,7394.3863,4814.4033,972.4
3157702,nifH,Nitrogen,1,3136.0109,NA,NA,NA
3157722,nifH,Nitrogen,1,2608.7646,5730.7085,8964.7253,750.61
3164104,amoA,Nitrogen,1,3973.5457,9064.545,4254.0435,633.25
3165372,nifH,Nitrogen,1,3918.3262,7356.9602,2277.0056,626.92
3184044,bphA,Organic Remediation,1,NA,7302.10565,7554.6336,935.92
3192697,non_contractile_major_tail_protein,Bacteria phage,1,1764.2722,7113.691,3788.9575,457.24
3192699,tape_measure_protein,Bacteria phage,1,26455.4385,21430.6969,18280.3913,1616.11
3257353,rubisco,Carbon cycling,1,NA,NA,NA,276.97
3261588,ZntA,Metal Resistance,1,9009.9954,21317.6014,16163.6071,1863.07
3282057,cytochrome_c,Bioleaching,1,NA,33885.2563,NA,NA
3282336,rubisco,Carbon cycling,1,NA,NA,NA,NA
3298336,MATE_antibiotic,Antibiotic resistance,1,672.1878,NA,NA,NA
3298505,amyA,Carbon cycling,1,1961.214,8172.48,6183.0293,NA
3318593,nplT,Carbon cycling,1,NA,2011.956,4200.7796,NA
3323367,hly,virulence,1,8013.6559,5631.5382,NA,NA
3334811,vanA,Carbon cycling,1,NA,36519.1696,NA,308.17
3367751,endochitinase,Carbon cycling,1,2237.2856,5626.6629,NA,NA
3378201,TehB,Metal Resistance,1,7653.2623,NA,NA,1335.41
3378273,BADH,Organic Remediation,1,2168.4884,NA,5655.2293,417.85
3378406,mdlD,Organic Remediation,1,NA,2720.8611,2510.7084,NA
3378419,nagG,Organic Remediation,1,4358.0572,NA,NA,NA
3378434,vdh,Carbon cycling,1,5900.6381,10353.9916,9530.8124,723.46
3378437,pchCF,Organic Remediation,1,3363.3618,NA,7064.6338,NA
3378444,CDD,Organic Remediation,1,3939.1471,5787.373,7828.0266,1095.1
3378445,xylJ,Organic Remediation,1,NA,NA,NA,473.48
3378678,hydrogenase,Energy process,1,NA,NA,3037.5634,NA
3387795,pcpE,Organic Remediation,1,NA,NA,NA,334.42
3420957,hydrogenase,Energy process,1,9721.0731,28546.2855,19323.8209,1154.42
3445533,pheA,Organic Remediation,1,2313.0144,NA,NA,NA
3451441,xylF,Organic Remediation,1,NA,1807.5432,NA,NA
3511232,bphA,Organic Remediation,1,18360.6019,NA,NA,NA
3560021,exoglucanase,Carbon cycling,1,2027.8305,6602.5716,2663.9139,NA
3618274,cumA,Organic Remediation,1,NA,NA,1960.2855,NA
3643998,nagG,Organic Remediation,1,6216.4129,20236.8297,12490.2839,871.34
3650450,oxyR,Stress,1,NA,NA,1544.9604,NA
3702218,toxin,virulence,1,NA,NA,NA,337.09
3757737,nirS,Nitrogen,1,NA,3442.2319,2578.8634,NA
3805970,napA,Nitrogen,1,2757.1329,3910.2033,NA,NA
3820518,phdCI,Organic Remediation,1,1217.3473,NA,NA,NA
3820519,bphA,Organic Remediation,1,NA,NA,9075.3388,NA
3845003,pstB,Stress,1,NA,NA,2347.3656,NA
3845548,pheA,Organic Remediation,1,4214.9245,7916.0737,NA,NA
3925395,napA,Nitrogen,1,NA,1992.1044,NA,NA
3985984,gyrB,other category,1,1357.3821,1989.477,NA,NA
4062993,endoglucanase,Carbon cycling,1,9248.7867,10699.7883,10581.5156,416.41
4096595,pcaG,Organic Remediation,1,7856.305,NA,2255.385,NA
4105518,rubisco,Carbon cycling,1,3711.571,NA,NA,NA
4105709,bphA,Organic Remediation,1,NA,NA,NA,487.69
4115621,exochitinase,Carbon cycling,1,8663.4911,40746.3557,16117.1014,NA
4126638,integrase_serine,Bacteria phage,1,NA,NA,NA,NA
4160334,limEH,Carbon cycling,1,1927.75,4891.8339,3294.0036,NA
4160661,pcaG,Organic Remediation,1,1264.5189,NA,NA,NA
4204214,exoglucanase,Carbon cycling,1,NA,9123.0487,NA,NA
4204385,xylG,Organic Remediation,1,NA,NA,5196.6724,NA
4220435,nagL,Organic Remediation,1,NA,3467.0464,NA,NA
4240018,pheA,Organic Remediation,1,60314.4963,NA,5923.3532,844.28
4249601,ureC,Nitrogen,1,2086.9961,6121.3756,4720.8477,NA
4335910,fimbriae,virulence,1,2718.9959,NA,NA,NA
4406091,tfdB,Organic Remediation,1,NA,NA,15365.3923,NA
4454060,norB,Nitrogen,1,1377.3203,NA,NA,NA
4468117,dehH109,Organic Remediation,1,NA,35268.9299,NA,NA
4468699,TerC,Metal Resistance,1,3594.7715,3343.6455,5582.6643,408.21
4468700,TerD,Metal Resistance,1,19218.9576,NA,49815.2613,4283.31
4512252,lip,Carbon cycling,1,NA,NA,NA,521.42
4512379,alkJ,Organic Remediation,1,1071.1597,7940.1875,1722.0868,NA
4514411,gyrB,other category,1,7558.6077,13335.0346,15261.4989,780.78
4514413,gyrB,other category,1,NA,NA,NA,57599.72
4519570,pstC,Stress,1,1442.2753,NA,NA,NA
4520315,proO,Organic Remediation,1,5166.9568,NA,NA,NA
4538621,cmuA,Organic Remediation,1,NA,3374.3279,2266.0665,NA
4545090,nosZ,Nitrogen,1,NA,3621.9761,NA,NA
4566587,BADH,Organic Remediation,1,NA,3028.7647,NA,NA
4579701,Catechol,Organic Remediation,1,6710.8183,NA,NA,NA
4580551,tfdB,Organic Remediation,1,NA,NA,4099.4635,NA
4580557,tfdB,Organic Remediation,1,2533.503,NA,NA,NA
4584498,czcD,Metal Resistance,1,NA,NA,5043.381,NA
4585361,HcaB,Organic Remediation,1,NA,2873.4846,NA,NA
4586274,cumA,Organic Remediation,1,NA,5731.4091,6287.0659,523.21
4586452,isopullulanase,Carbon cycling,1,NA,3336.9894,NA,NA
4633554,nosZ,Nitrogen,1,2449.3108,NA,NA,NA
4633555,nosZ,Nitrogen,1,1495.6775,3137.8023,NA,NA
4633560,nosZ,Nitrogen,1,47074.7441,NA,NA,NA
4633563,nosZ,Nitrogen,1,864.4046,2662.9705,NA,NA
4633565,nosZ,Nitrogen,1,NA,NA,1562.2377,NA
4633573,nosZ,Nitrogen,1,19244.3217,NA,6214.3577,2757.75
4704462,nahA,Organic Remediation,1,4140.2167,NA,2276.4902,539.84
4760687,scaffold,Bacteria phage,1,4254.1864,7349.0488,5601.9081,759.7
4775467,pstB,Stress,1,6360.5496,7843.9074,8881.8798,884.78
4808507,pchCF,Organic Remediation,1,NA,NA,NA,313.51
4808513,pchCF,Organic Remediation,1,NA,NA,NA,2950.72
4827073,HcaB,Organic Remediation,1,NA,NA,NA,NA
4886552,PobA,Organic Remediation,1,21865.9241,21435.5869,24467.6016,402.76
4895143,endochitinase,Carbon cycling,1,972.4033,3606.7079,3151.6514,NA
4927242,katE,Stress,1,NA,NA,NA,245.71
4928216,groEL,Stress,1,NA,5328.3348,NA,NA
4981052,czcD,Metal Resistance,1,1355.1754,NA,NA,NA
4981240,pcc,Carbon cycling,1,2946.9094,NA,NA,NA
4982169,sigma_24,Stress,1,3081.6741,NA,NA,NA
4996796,gyrB,other category,1,NA,NA,6264.0994,NA
4996798,gyrB,other category,1,NA,3647.0241,3149.7614,NA
5020007,dnaK,Stress,1,10926.8417,NA,22798.4924,NA
5020380,hydrogenase,Energy process,1,66477.2215,NA,4999.2808,1270.71
5042259,hmgB,Organic Remediation,1,NA,4644.4776,NA,NA
5103436,pstA,Stress,1,NA,NA,NA,240.92
5107071,exoglucanase,Carbon cycling,1,NA,12111.2929,NA,NA
5139555,pcaG,Organic Remediation,1,NA,NA,NA,NA
5139556,pcaG,Organic Remediation,1,165378.858,NA,4395.508,NA
5231154,exoglucanase,Carbon cycling,1,NA,NA,NA,NA
5306108,helicase_family_4,Bacteria phage,1,NA,NA,NA,NA
5360700,bphA,Organic Remediation,1,1292.2714,NA,NA,NA
5453414,pectinase,Carbon cycling,1,2228.6924,NA,2354.2097,NA
5458357,CopA,Metal Resistance,1,4017.2384,3869.1865,4557.0754,509.1867
5458470,pstA,Stress,1,2559.62,NA,NA,NA
5458471,pstB,Stress,1,6577.4296,10486.0045,11586.028,925.11
5531409,alkJ,Organic Remediation,1,2877.8266,NA,NA,NA
5578709,nahF,Organic Remediation,1,1477.8422,NA,NA,NA
5616325,lip,Carbon cycling,1,2198.2918,NA,NA,NA
5678640,napA,Nitrogen,1,1228.926,15160.8142,8412.9851,NA
5690011,xylA,Carbon cycling,1,NA,NA,NA,362.12
5702382,TerD,Metal Resistance,1,1751.5945,4963.2704,5095.1845,532.56
